english,hebrew
deposit,"להפקיד, פיקדון"
depreciate,להפחית
depression,דיכאון
derision,לעג
derive  -,"לשאוב, להפיק, לגזור מ"
descend,"ירד, הדרדר"
descendent,צאצא
describe,לתאר
described,מתואר
description,תיאור
desert,לנטוש
desert,מדבר
design,"לתכנן, לעצב"
design,"תכנית, דוגמה, תרשים"
designer,מעצב
desirable,נחשק
desire,"תשוקה, חשק, לחפוץ"
desolate,הרוס
desolate,"שומם, נטוש"
despair,להתייאש
desperate,נואש
desperation,ייאוש
despise,לתעב
despite,למרות
dessert,קינוח
destination,יעד
destiny,גורל
destroy,להרוס
destructive,הרסני
detach,להתנתק
detail,"פרט, לפרט"
detect,"לאתר, לגלות"
deteriorate,להידרדר
determine,לקבוע
determined,"נחוש, נחרץ"
detract,"להפחית, לגרוע"
detrimental,מזיק
devastate,להחריב
devastated,"הרוס, מפורק"
develop,לפתח
development,"התפתחות, פיתוח"
deviant,סוטה
device,מכשיר
devise,"לתכנן, להמציא"
devoid,"חסר, נטול"
devote,להקדיש
diagnose,לאבחן
diagram,"תרשים, דיאגרמה"
dialect,ניב
diary,יומן
dictate,"להכתיב, לפקד"
dictator,"עריץ, דיקטטור"
die,"מת, למות"
diet,"דיאטה, תזונה"
difference,הבדל
differences,חילוקי דעות
different,שונה
different from  -,שונה מ
differentiate,"להבדיל, להבחין"
difficult,קשה
dilemma,"דילמה, בעיה"
dim,לעמעמם
dimension,מימד
diminish,לצמצם
direct,"ישיר, כנה"
direct,לביים
direct,לכוון
direction,כיוון
director,במאי
director,מנהל
dirty,מלוכלך
disadvantage,חסרון
disagreement,חוסר הסכמה
disappear,להעלם
disappoint,לאכזב
disapproving,"לא מאשר, לא מסכים, לא מרוצה"
disarmament,פירוק מנשק
disaster,אסון
disciples,תלמידים
discipline,"להעניש, לחנך, משמעת"
discipline,תחום לימוד/מחקר
disciplined,"חינך, העניש"
disciplined,ממושמע
disclose,"לגלות, לחשוף"
discontent,חוסר שביעות רצון
discord,"סכסוך, מחלוקת, צרימה"
discourage,לשכנע שלא לעשות משהו
discover,לגלות
discoveries,תגליות
discrepancy,"סתירה, פער"
discriminate,להפלות
discuss,"לדון, להתווכח"
disdain,"זלזול, בוז"
disease,מחלה
disgrace,בושה
disguise,תחפושת
disgust,"גועל, להגעיל"
disinfection,חיטוי
dislocate,"לפרוק, לנקוע"
disloyal,לא נאמן
dismiss,"לבטל, לפטר, לשחרר"
disobey,"להפר, לא לציית"
disorder,הפרעה
disparage,"לזלזל, להמעיט בערך"
disparagement,זלזול
dispatch,לשגר
displacement,עקירה
display,להציג
disposable,חד- פעמי
dispose,להיפטר
disprove,להפריך
disregard,להתעלם
disrupt,"להפריע, לשבש"
dissect,"לנתח, לבתר"
dissection,"חיתוך, ביתור"
disseminate,להפיץ
dissent,"להתנגד, חילוקי דעות"
dissolve,להתמוסס
distance,מרחק
distant,מרוחק
distinct,"ברור, נפרד"
distinction,הפרדה
distinction,מצוינות
distinctive,מיוחד
distinguish,"להבדיל, להבחין"
distract,להסיח את הדעת
distress,מצוקה
distribute,להפיץ
distribution,הפצה
district,מחוז
disturb,להפריע
disturbance,הפרעה
disuse,חוסר שימוש
diurnal,יומי
diverge,לסטות
diverse,מגוון
diversity,מגוון
divide,לחלק
divine,אלוהי
divinity,אלוהות
divorce,גירושין
docile,"צייתן, כנוע, נח"
document,לתעד
document,מסמך
domestic,ביתי
dominate,לשלוט
donate,לתרום
done,"גמור, עשוי"
donor,תורם
doorstep,מפתן הדלת
dose,"מנה, מינון"
double standard,מוסר כפול
doubt,"ספק, להטיל ספק"
dovecote,שובך
down,למטה
downhill,"מדרון, מורד"
dozen,תריסר
draft,גיוס
draft,טיוטה
draft,משיכה
draft,רוח פרצים
drag,לגרור
drastic,דרסטי
draw,לצייר
draw,"תיקו, שוויון"
draw (drew),"לשלוף, שלף"
drawback,"חסרון, עיכוב"
dread,"פחד, לפחד"
dream,"חלום, לחלום"
drench,"להרטיב, להספיג"
drift,"זרם, סחף"
drink,"לשתות, משקה"
drip,לטפטף
drought,בצורת
drug,"סם, תרופה, לסמם"
due,בשל
due,"צריך להיעשות, זמנו הגיע"
due to,"בגלל, לאור"
duel,דו- קרב
dull,משעמם
dull,סתום
dull,עמום
dump,לשפוך
duplicate,לשכפל
durable,"יציב, מתמשך"
during,"תוך כדי, במשך"
dust,"אבק, לאבק"
duty,"תפקיד, חובה"
dwarf,"לגמד, גמד"
dwell,להתגורר
dwelling,"משכן, בית"
dwindle,"הידלדל, התמעט"
dye,"צבע, לצבוע"
dynasty,שושלת
e.g.,לדוגמה
eager,"נחוש, נלהב"
eagle,נשר
earlier,קודם לכן
early,מוקדם
earn,להרוויח
earth,אדמה
earthquake,רעידת אדמה
ease,"להקל, קלוּת"
easily,בקלות
eccentric,"מוזר, אקסצנטרי"
echo,הד
ecological,אקולוגי
economy,כלכלה
edge,"קצה, חספוס"
edible,אכיל
edit,לערוך
edition,מהדורה
editor,עורך
educate,לחנך
education,השכלה
eel,צלופח
effect,"רושם, השפעה"
effect,"תוצאה, אפקט"
effective,"יעיל, אפקטיבי"
efficient,יעיל
effort,מאמץ
elaborate,"לפרט, להרחיב"
elastic,"גמיש, אלסטי, גומיה"
elderly,זקן
elect,לבחור
electricity,חשמל
elephant,פיל
eliminate,"לחסל, לפסול"
eloquent,רהוט
elsewhere,במקום אחר
elude,"לברוח, להתחמק"
embalm,"לחנוט, לשמר"
embarrass,להביך
embitter,גורם התמרמרות
emblem,סמל
embrace,"לחבק, לאמץ לקרבו"
embryo,עוּבָּר
emerge,"להגיח, להופיע"
emigrate,להגר
eminent,"בולט, בכיר"
emission,פליטה
emit,"לפלוט, להוציא"
emotion,רגש
empathy,"הזדהות, אמפתיה"
emperor,"שליט, קיסר"
emphasize,להדגיש
empire,אימפריה
employ,להעסיק
employer,"מעסיק, מעביד"
empty,"ריק, לרוקן"
enable,לאפשר
enact,לחוקק
enchant,"לכשף, להקסים"
enclose,לצרף
enclosing,"לסגור, להקיף"
enclosure,"סגירה, כיתור, שטח מגודר"
encounter,מפגש
encourage,לעודד
encroach,"להסיג גבול, לפלוש"
endanger,לסכן
endangered,בסכנת הכחדה
endurance,כוח סבל
endure,"לסבול, להחזיק מעמד"
enemy,אויב
energy,"אנרגיה, כוח"
enforce,"לאכוף, לכפות"
engage,"להעסיק, ליצור מגע"
engagement,אירוסין
engagement,התחייבות
engine,מנוע
engineer,"מהנדס, להנדס"
engrave,לחרוט
enhance,להעצים
enjoy,ליהנות
enjoyable,מהנה
enlarge,להגדיל
enlist,להתגייס
enormous,עצום
enough,מספיק
enrage,"להרגיז, להכעיס"
enrich,להעשיר
enroll,להירשם
ensue,נבע
ensure,להבטיח
enter,נכנס
entertain,"לשעשע, לבדר"
entertainment,בידור
enthusiasm,התלהבות
entirely,לחלוטין
entitled,זכאי
entrance,כניסה
envelope,מעטפה
envious,קנאי
environment,סביבה
envision,"לחזות, לצפות"
envy,"קנאה, לקנא"
enzyme,אנזים
epidemic,"מגיפה, אפידמיה"
episode,פרק
epitomize,"לייצג, לאפיין"
equality,"שוויון, במידה שווה"
equally,במידה שווה
equates,"להשוות, להתאים"
equip,לצייד
equipment,ציוד
equivalent,מקבילה
era,עידן
erase,למחוק
eraser,מחק
erosion,"סחף, כרסום"
erroneous,שגוי
error,שגיאה
erupt,התפרץ
escape,"לברוח, בריחה"
especially,במיוחד
essential,חיוני
essentially,"בעיקרו, במהותו"
establish,לייסד
estate,אחוזה
estate,נכס
esteemed,מכובד
estimate,"להעריך, לאמוד"
ethical,"אתי, מוסרי"
ethnic,אתני
evade,התחמק
evaluate,"להעריך, לאמוד"
evaluation,הערכה
even,אפילו
even,"ליישר, להשוות"
even if,גם אם
even so,אף על פי כן
even though  -,למרות ש
evening,ערב
evenly,באופן שווה
event,אירוע
eventually,לבסוף
every day,כל יום
every now and then,לפעמים
evidence,ראיה
evocative,"מעורר, מעלה, מזכיר"
evoke,"לעורר, להעלות"
evolutionary,התפתחותי
evolved,התפתח
exact,מדויק
exactly,בדיוק
exaggerate,להגזים
examination,"בחינה, בדיקה"
examine,לבחון
example,דוגמה
excel,להצטיין
excellent,מצוין
except  -,"מלבד, חוץ מ"
except for,למעט
exception,יוצא מהכלל
excessive,"יתר, מוגזם"
excessively,בצורה מוגזמת
exchange,"להחליף, חלופה"
excitement,התרגשות
exclude,"למנוע, לשלול, להרחיק, לגרש"
exclusive,בלעדי
exclusively,"באופן בלעדי, רק"
excuse,לסלוח
excuse,תירוץ
execute,להוציא להורג
execute,להוציא לפועל
exercise,להתאמן
exercise,"לממש, ליישם"
exercise,תרגיל
exert,להפעיל
exert,להתאמץ
exhale,לנשוף
exhaust,"פליטה, צינור מפלט"
exhausting,"מתיש, מעייף"
exhibit,"להציג, מוצג"
exhibition,תערוכה
exile,"להגלות, לגרש"
exist,קיים
existence,קיום
exotic,"אקזוטי, מארץ זרה"
expand,להרחיב
expansion,התפתחות
expatriate,"להגלות, לגרש"
expect,לצפות
expectations,ציפיות
expedite,לזרז
expel,"להשעות, להרחיק"
expend,"לגמור, לבזבז, לפזר"
expendable,שניתן לוותר עליו
expense,הוצאות
expensive,יקר
experience,"ניסיון, לחוות"
experiment,"ניסוי, להתנסות"
expert,מומחה
explain,להסביר
explanation,הסבר
explicit,"מפורש, ברור, בוטה"
explode,להתפוצץ
exploit,"לנצל, להפיק תועלת"
exploit,"פעולות, מעשים"
explore,"לחקור, ללמוד"
explosive,חומר נפץ
export,ייצוא
exposure,חשיפה
express,לבטא
express,מהיר
expression,ביטוי
exquisite,"חד, מעודן, אנין"
exquisite,מצוין
extend,"להאריך, להרחיב"
extension,שלוחה
extensive,נרחב
exterior,חיצוני
external,חיצוני
extinct,נכחד
extinction,הכחדה
extortion,סחיטה
extract,"לתמצת, להפיק"
extraordinary,בלתי רגיל
extrapolate,לאמוד על סמך מידע קיים
extreme,קיצוני
eyesight,"ראייה, כוונת"
fabric,בד
fabricate,לבדות
face,פנים
face  -,"פונה ל- , עם הפנים ל"
facial,שקשור בפנים
facilitate,"לסייע, לעזור, להקל"
facility,מתקן
fact,עובדה
factor,גורם
factory,"מפעל, בית חרושת"
fail,להיכשל
failure,כשלון
faint,להתעלף
faint,קלוש
fairy,פיה
fairytale,אגדה
faith,אמון
fall,סתיו
fall apart,להתפרק
false,שקר
familiar,מוכר
familiarize,להתוודע
family,משפחה
famine,רעב קשה
famous,מפורסם
fan,"מאוורר, לאוורר"
fan,"מעריץ, אוהד"
fancy,מגונדר
fancy,מחבב
farm,חווה
farmer,חוואי
farther,"הלאה, יותר"
fascinate,לרתק
fashion,אופנה
fashion,לעצב
fast,מהיר
fast,צום
fasten,להדק
fate,"גורל, חרץ גורל"
father,אבא
fatigue,לעייף
fatigue,"עייפות, תשישות"
fault,אשמה
fault,"פגם, תקלה"
faulty,"לקוי, לא תקין"
favor,טובה
favor,להעדיף
favored,מועדף
fear,"פחד, לפחד"
feature,להציג
feature,סרט באורך מלא
feature,"תכונה, מאפיין"
feel,להרגיש
feeling,הרגשה
fellow,"חבר, עמית"
feminine,נשי
fertile,פורה
few,מעט
fiber,סיב
fiction,"בדיון, לא אמיתי"
field,"תחום, שדה"
figurative,סמלי
figure,"גזרה, צורה"
figure,דמות
figure,"לחשב, להניח, להסיק"
figure,"ספרה, מספר"
file,"תיק, קובץ"
filmmaker,יוצר סרטים
filter,"פילטר, מסנן"
finalize,"לסכם, לגבש"
finally,"לבסוף, סוף סוף"
financial,כספי
find,למצוא
findings,ממצאים
fine,משביע רצון
fine,"משובח, מצוין"
fine,"קטן, עדין, דקיק"
fine,קנס
finger,אצבע
fingerprint,טביעת אצבע
fire,"אש, להצית"
fire,לירות
fire,לפטר
firm,מוצק
firm,"נחוש, תקיף"
first of all,ראשית
fisherman,דייג
fishing,דיג
fit,בכושר
fit,להתאים
fix,לתקן
flagrant,בוטה
flame,להבה
flat,דירה
flat,שטוח
flatter,להחמיא
flatter,שטוח יותר
flattery,חנופה
flavor,טעם
flavor,לתבל
flew,עף
flexible,גמיש
flight,"בריחה, מנוסה"
flight,טיסה
flimsy,"עדין, שביר"
flip,להפוך צד
flip,"לזרוק, להעיף"
flip,סלטה
flock,"לנהור, עדר, המון"
flood,שיטפון
flourish,"לשגשג, לפרוח"
flow,זרם
flower,פרח
fluctuation,חוסר יציבות
fluency,שטף
fluent,שוטף
fluid,נוזל
fly,זבוב
fly,לעוף
focus,"להתמקד, מיקוד"
foil,לסכל
folk,עממי
folklore,פולקלור
follow,"לעקוב, לציית"
fool,"טיפש, לשטות במישהו"
footage,קטע צילום
footprints,"עקבות, טביעות רגל"
for,עבור
for  -,מפני ש
for example,לדוגמה
for instance,לדוגמה
for the most part,בדרך- כלל
for the sake of,למען
forbid,לאסור
force,כוח
force,לכפות
forceful,חזק
forecast,תחזית
foreign,"זר, נוכרי"
foreign,חוץ
forerunner,"אות, סימן מבשר באות"
forerunner,"שליח, חלוץ, מבשר"
foresee,לצפות מראש
forest,יער
forever,"לנצח, לתמיד"
forfeit,"לוותר, להפסיד"
forget,לשכוח
forgettable,שאפשר לשכוח אותו
forgive,לסלוח
fork,מזלג
form,"ליצור, להקים"
form,צורה
formal,רשמי
former,"קודם, לשעבר"
formula,"נוסחה, פורמולה"
formulate,לנסח
forsake,לזנוח
fort,"מצודה, מבצר"
forth,"הלאה, קדימה"
fortify,"לחזק, לבצר"
fortunate,בעל מזל
fortune,מזל
fortune,עושר
forward,"קדימה, לפנים"
fossil,מאובן
foster,"אומן, מאומץ"
found,לייסד
found,"מצא, גילה"
foundation,יסוד
fraction,שבר
fracture,שבר
fragile,"עדין, שביר"
fragrance,ניחוח
frame,"מסגרת, למסגר"
fraternal,"אחוותי, של אחים"
fraud,"מרמה, הונאה"
frequency,"תדר, תדירות"
frequent,"תדיר, שכיח"
frequently,לעיתים קרובות
friend,חבר
friendly,ידידותי
friendship,חברות
frightening,מפחיד
fringes,שוליים
frog,צפרדע
from time to time,מפעם לפעם
front,"חזית, להתעמת"
frugal,חסכני
fruit,פרי
frustration,תסכול
fuel,דלק
fulfill,להגשים
full,"מלא, למלא"
fume,"אדים, עשן"
function,"תפקוד, לתפקד"
fund,לממן
fund,קרן
fundraiser,מגייס כספים
funds,"כסף, הון, מקור מימון"
fungus,פטרת
fur,פרווה
furnish,לרהט
further,בהמשך
further,לקדם
furthermore,זאת ועוד
fury,זעם
future,עתיד
gain,"להרוויח, להוסיף"
gamble,הימר
gap,פער
garbage,זבל
garden,גן
garlic,שום
garment,"בגד, לבוש"
gasoline,בנזין
gate,שער
gather,אסף
gauge,"למדוד, להעריך, מידה"
general,כללי
generally,באופן כללי
generated,יצר
generation,דור
generous,נדיב
genes,גנים
genesis,"היווצרות, התהוות"
genesis,ספר בראשית
genetic,"תורשתי, גנטי"
genial,ידידותי
genius,גאון
genre,"ז'אנר, סוגה"
gentle,עדין
genuine,"אמיתי, מקורי"
genus,"סוג, מין"
gesture,מחווה
giant,ענק
gift,מתנה
given,נתון
given that,בהתחשב בכך
glacier,קרחון
glad,שמח
glance,מבט חטוף
gland,בלוטה
glass,זכוכית
glass,כוס
glaze,זיגוג
glitch,"תקלה, הפרעה"
global,"עולמי, גלובאלי"
glorify,להאדיר
glove,כפפה
goal,מטרה
goblet,גביע
golden,מוזהב
goods,"סחורה, טובין"
govern,למשול
government,ממשל
governor,מושל
grace,"חסד, חינניות"
gracious,"חינני, אדיב"
grade,כיתה
grade,"ציון, דרגה, מעמד"
grade,שיפוע
gradual,הדרגתי
gradually,בהדרגה
graduate,לסיים לימודים
grain,"גרעין, לטחון"
grain,תבואה
grammatical,דקדוקי
grand,"גדול, כולל, מרשים"
granddaughter,נכדה
grandfather,סבא
grandmother,סבתא
grandson,נכד
grant,"להעניק, מענק"
granted (that)  -,"בהנחה ש- , נתון ש"
grapes,ענבים
grasp,אחיזה
grasp,"לתפוס, להבין"
gratify,לרצות
great,"גדול, מעולה"
greet,"לברך, לקבל פנים"
grief,"יגון, צער"
grievance,"טרוניה, התמרמרות"
grit,"גרגרים, לכלוך"
grocery,מכולת
groom,חתן
groom,"לטפח, לטפל"
gross,"ברוטו, גלמי"
gross,"ענק, דוחה"
ground,"בסיס, אדמה"
group,"קבוצה, לקבץ"
grow,"לגדול, לגדל"
grow up,"להתבגר, לגדול"
growled,נהם
growth,"צמיחה, גדילה"
guarantee,"להבטיח, ערבות"
guard,"שומר, לשמור"
guess,"ניחוש, לנחש"
guidance,"הנחיה, הכוונה, הנהגה"
guide,להדריך
guillotine,גיליוטינה
guilty,אשם
gunpowder,אבק שריפה
gym,אולם ספורט
gymnasium,אולם ספורט
habit,הרגל
habitat,סביבת מגורים
hail,ברד
hail,לשבח
half,חצי
hall,היכל
hall,מסדרון
halt,"לעצור, להפסיק, עצירה"
halve,לחצות
hand,יד
hand,למסור
hand,מצד אחד... מצד שני
handicap,נכה
handle,להתמודד
harass,להציק
harder,קשה יותר
hardly,בקושי
hardly ever,כמעט אף פעם
harm,"לפגוע, להזיק"
harmful,מזיק
harmless,שאינו מזיק
harmony,הרמוניה
harness,לרתום
harsh,"נוקשה, אכזרי"
hasten,"למהר, להחפז"
hasty,"מהיר, בהול"
hatch,"פתח, צוהר"
haul,לגרור
hazardous,מסוכן
health,בריאות
hear,לשמוע
hearsay,שמועה
heart,לב
heartbeat,"דופק, פעימות לב"
heat,"חום, לחמם"
heavily,"מאוד, במידה רבה"
heavy,כבד
hectic,קדחתני
heed,לשים לב
hegemony,הגמוניה
height,גובה
heir,יורש
hence,"לפיכך, לכן"
herb,עשב
herd,לאסוף
herd,"עדר, לרעות"
here,כאן
heredity,תורשה
heresy,כפירה
heritage,מורשת
hero,גיבור
heroine,גיבורה
hesitate,להסס
hibernate,לישון שנת חורף
hid from  -,התחבא מ
hidden,"חבוי, נסתר"
highway,כביש ראשי
hike,"הליכה, טיול"
hilarious,מצחיק
hill,גבעה
hinder,לעכב
hint,רמז
historian,היסטוריון
hive,כוורת
hobby,תחביב
hold back,"לעכב, למנוע"
hollow,חלול
homeland,מולדת
honest,הגון
honor,"לכבד, כבוד"
hope,"תקווה, לקוות"
horn,צופר
horrific,אָיוֹם
horror,אימה
horse,סוס
hospital,בית חולים
hospitality,הכנסת אורחים
hospitalize,לאשפז
host,מארח
hostility,עוינות
hot,חם
hot,חריף
house,בית
house,לשכן
housemaid,"עוזרת בית, מנקה"
how,"איך, כיצד"
however,בכל דרך
however,למרות זאת
howl,"יללה, לילל"
huge,"עצום, ענק"
human,אנושי
human being,"בן- אדם, אנוש"
humiliate,להשפיל
humility,ענוה
hundred,מאה
hunger,רעב
hunt,"לצוד, ציד"
hunter,צייד
husband,בעל
hypocrisy,צביעות
i.e.,"כלומר, לדוגמה"
ice cream,גלידה
iceberg,קרחון
icicle,נטיף קרח
idea,רעיון
ideal,"אידיאל, אידיאלי"
identical,זהה
identically,באופן זהה
identify,לזהות
idolize,להעריץ
ignorance,בורות
ignorant,"בור, חסר השכלה"
ignore,להתעלם
ill,חולה
illegal,לא חוקי
illiterate,"בור, אנאלפבית"
illness,מחלה
illuminate,להאיר
illusion,אשליה
illustrate,"להמחיש, להדגיש"
illustrator,מאייר
image,"דמות, תמונה"
imagination,דמיון
imaginative,דמיוני
imagine,לדמיין
imitate,לחקות
immediately,מיד
immense,"כביר, עצום"
immersion,שקיעה
immigrate,להגר
immoral,לא מוסרי
impact,השפעה
impact,התנגשות
impair,"לפגום, להחליש"
impart,"להעביר, להקנות"
impartial,"אוביקטיבי, ללא צד"
impartially,"באופן הוגן, ללא אפליה"
impatient,חסר סבלנות
implement,"ליישם, להוציא לפועל"
implementation,"מימוש, יישום, ביצוע"
implicate,"לסבך, לערב"
implications,"השלכות, משמעות"
implore,"להתחנן, להפציר"
imply,לרמוז
import,לייבא
importance,חשיבות
important,חשוב
impose,לכפות
impossible,בלתי אפשר
impress,להרשים
impressive,מרשים
imprisoned,כלוא
imprisonment,"מאסר, כליאה"
improve,לשפר
improvise,לאלתר
impulse,דחף
impulsively,ללא שיקול דעת
in,"ב- , בתוך"
in a moment,בעוד רגע
in a word,במילה אחת
in addition,בנוסף
in case,במקרה
in comparison,בהשוואה
in conclusion,לסיכום
in contrast to  -,בניגוד ל
in due time,בבוא העת
in fact,למעשה
in favor of,לטובת
in front of,"בחזית של, מול"
in general,באופן כללי
in light of,לאור
in order,"תקין, מסודר"
in order to,"על- מנת, בכדי"
in other words,במילים אחרות
in particular,במיוחד
in spite of,למרות
in that case,במקרה הזה
in the same way,באותו אופן
inactivity,חוסר פעילות
inadequate,"לקוי, לא מספיק"
inadvertently,"בלי משים, בלי כוונה"
incentive,תמריץ
incident,תקרית
incidentally,דרך אגב
incline,להתאים
incline,שיפוע
include,לכלול
including,כולל
inclusive,כולל
income,הכנסה
incompetence,חוסר יכולת
incomprehensible,לא מובן
inconsistent,לא עקבי
incorporate,"לכלול, לשתף, לאגד"
increase,"להגדיל, להגביר"
incredible,מדהים
indebted,"חייב ל- , אסיר תודה"
indeed,בהחלט
indefinitely,ללא הגבלה
independence,עצמאות
independent,עצמאי
index,"אינדקס, תוכן עניינים"
indicate,להצביע על
indication  -,"אינדיקציה, סימן ל"
indifference,אדישות
indigenous,"ילידים, מולד"
individual,"יחיד, אינדיבידואל"
induce,"לגרום, לייצר"
industrious,"חרוץ, שקדן"
industry,תעשייה
inevitable,בלתי נמנע
inexpensive,"לא יקר, זול"
infancy,ינקות
infected,הודבק
infection,זיהום
infectious,מדבק
inferior,נחות
inferred,"נגזר, משתמע"
infiltrate,להסתנן
infinite,אינסופי
inflammation,דלקת
inflate,לנפח
influence,"השפעה, להשפיע"
inform,"להודיע, לעדכן"
information,מידע
infraction,עבירה
ingest,להכניס משהו לגוף דרך הפה
ingredients,מרכיבים
inhabit,"ליישב, לאכלס"
inhabitants,תושבים
inherit,לרשת
inhibit,לרסן
initial,"התחלתי, ראשוני"
initial,ראשי תיבות
initially,בתחילה
initiated,"יזם, התחיל, אִתְחֵל"
inject,להזריק
injure,לפצוע
injury,פציעה
inn,פונדק
innate,מולד
inner,פנימי
innocent,חף מפשע
innocent,תמים
innovate,"לחדש, להמציא"
inquire,לתשאל
inquiry,חקירה
insanity,אי שפיות
insect,חרק
insert,להכניס
inside,"בתוך, פנים"
insight,תובנה
insist,להתעקש
inspect,"לבחון, לבדוק"
inspiration,השראה
inspiring,נותן השראה
installation,התקנה
instant,בהרף עין
instant,מיידי
instantly,מיד
instead,במקום
instead of,במקום
instill,"להחדיר, להשריש"
institute,לכונן
institute,"מוסד, מכון"
instruction,"הוראה, הדרכה"
instrument,כלי
insulate,לבודד
insult,להעליב
insult,עלבון
insurance,ביטוח
insure,להבטיח
